species_normalized,scientific_name_gbif,accepted_taxon_key,gbif_records_sampled,unique_coordinates,unique_datasets,unique_publishers,within_10km,within_25km,within_50km,nearest_distance_km,median_distance_km,regional_evidence,survival_n,survival_mean,survival_median,local_presence,candidate_tier,query_latitude,query_longitude,regional_evidence_score,v5_survival_score,historical_evidence_score,soil_score,climate_score,pollution_score,user_fit_score,ml_supported,final_score,survival_evidence_flag,recommendation_rank,recommendation_status,reason
gmelina arborea,Gmelina arborea,8247889,11,3,1,1,9,11,11,8.078823292646844,8.078823292646844,moderate,12.0,78.55833333333334,82.7,True,A_ML_SUPPORTED,18.5204,73.8567,92.68518518518519,89.75406095218547,87.89124841854766,,,,,True,8924.602117028426,stronger,1,MAIN_RECOMMENDATION,Regional evidence plus survival-model support.
swietenia macrophylla,Swietenia macrophylla,3190484,2,1,1,1,0,2,2,12.156246991141032,12.156246991141032,weak,16.0,48.81875,60.5,True,A_ML_SUPPORTED,18.5204,73.8567,42.5,85.87312821838377,65.97544197195316,,,,,True,8044.648651481178,stronger,2,MAIN_RECOMMENDATION,Regional evidence plus survival-model support.
tectona grandis,Tectona grandis,2925649,12,6,1,1,7,11,12,4.441337800053019,8.270919883448068,moderate,5.0,58.76069645,49.81496705,True,A_ML_SUPPORTED,18.5204,73.8567,92.96296296296296,82.50510997948425,55.63916692284137,,,,,True,7517.803460039982,stronger,3,MAIN_RECOMMENDATION,Regional evidence plus survival-model support.
careya arborea,Careya arborea,3083448,5,3,1,1,3,3,5,6.16187635782467,6.16187635782467,moderate,6.0,33.31166666666667,38.885,True,A_ML_SUPPORTED,18.5204,73.8567,92.68518518518519,84.64347635264299,48.7145031797117,,,,,True,7484.46654872981,stronger,4,MAIN_RECOMMENDATION,Regional evidence plus survival-model support.
artocarpus heterophyllus,Artocarpus heterophyllus,2984565,13,6,1,1,10,13,13,5.2210439069683305,6.218877400637711,moderate,8.0,40.87,30.3,True,A_ML_SUPPORTED,18.5204,73.8567,92.96296296296296,81.1801927647284,47.5728882396275,,,,,True,7201.456425788269,stronger,5,MAIN_RECOMMENDATION,Regional evidence plus survival-model support.
caryota urens,Caryota urens,2738914,53,19,1,1,41,49,53,0.1685600008973145,5.999716607140826,strong,7.0,26.27142857142857,23.3,True,A_ML_SUPPORTED,18.5204,73.8567,94.16666666666667,80.60119210887788,43.45805391552759,,,,,True,7047.124532887326,stronger,6,MAIN_RECOMMENDATION,Regional evidence plus survival-model support.
