species_normalized,scientific_name_gbif,accepted_taxon_key,gbif_records_sampled,unique_coordinates,unique_datasets,unique_publishers,within_10km,within_25km,within_50km,nearest_distance_km,median_distance_km,regional_evidence,survival_n,survival_mean,survival_median,local_presence,candidate_tier,query_latitude,query_longitude
artabotrys hexapetalus,Artabotrys hexapetalus,3154909,3,1,1,1,3,3,3,5.8705843198024965,5.8705843198024965,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
basella alba,Basella alba,3083504,3,1,1,1,3,3,3,4.835574178518814,4.835574178518814,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
blumea eriantha,Blumea eriantha,5395738,3,1,1,1,3,3,3,8.074523357604566,8.074523357604566,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
bougainvillea glabra,Bougainvillea glabra,5384862,3,1,1,1,3,3,3,4.194950931750525,4.194950931750525,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cadaba fruticosa,Cadaba fruticosa,3872643,3,1,1,1,3,3,3,4.18794456056236,4.18794456056236,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cassia roxburghii,Cassia roxburghii,5357138,3,1,1,1,3,3,3,1.3054887053624105,1.3054887053624105,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
celastrus paniculatus,Celastrus paniculatus,7265565,3,1,1,1,3,3,3,4.392653595370013,4.392653595370013,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
colocasia esculenta,Colocasia esculenta,5330776,3,1,1,1,3,3,3,7.4334579602730875,7.4334579602730875,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
commelina benghalensis,Commelina benghalensis,2763941,3,1,1,1,3,3,3,6.480342888957777,6.480342888957777,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
commelina forskaolii,Commelina forskaolii,4270425,3,1,1,1,3,3,3,8.107472986959754,8.107472986959754,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
crinum bulbispermum,Crinum bulbispermum,2853668,3,1,1,1,3,3,3,8.203356338320143,8.203356338320143,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cucumis sativus,Cucumis sativus,2874569,3,1,1,1,3,3,3,2.1720130615189315,2.1720130615189315,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cynodon dactylon,Cynodon dactylon,6109637,3,1,1,1,3,3,3,6.475760420534803,6.475760420534803,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ecbolium ligustrinum,Ecbolium ligustrinum,5576253,3,1,1,1,3,3,3,2.90047023383779,2.90047023383779,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
eragrostis tenella,Eragrostis tenella,2705426,3,1,1,1,3,3,3,7.322128599812501,7.322128599812501,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
euphorbia heterophylla,Euphorbia heterophylla,3064495,3,1,1,1,3,3,3,7.376302188330462,7.376302188330462,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus drupacea,Ficus drupacea,5361914,3,1,1,1,3,3,3,8.090609642916752,8.090609642916752,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus elastica,Ficus elastica,7835333,3,1,1,1,3,3,3,1.248403295328738,1.248403295328738,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
foeniculum vulgare,Foeniculum vulgare,3034922,3,1,1,1,3,3,3,3.4709070712963768,3.4709070712963768,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
gardenia jasminoides,Gardenia jasminoides,5335125,3,1,1,1,3,3,3,2.358462256844788,2.358462256844788,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
hemidesmus indicus,Hemidesmus indicus,8125676,3,1,1,1,3,3,3,6.831127276480733,6.831127276480733,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
heptapleurum actinophyllum,Heptapleurum actinophyllum,11008739,3,1,1,1,3,3,3,6.569778806437117,6.569778806437117,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
hibiscus rosa-sinensis,Hibiscus rosa-sinensis,3152559,3,1,1,1,3,3,3,3.6371193969284046,3.6371193969284046,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ipomoea parasitica,Ipomoea parasitica,4927124,3,1,1,1,3,3,3,8.195462034081116,8.195462034081116,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ludwigia hyssopifolia,Ludwigia hyssopifolia,8924323,3,1,1,1,3,3,3,4.392653595370013,4.392653595370013,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
luffa aegyptiaca,Luffa aegyptiaca,2874599,3,1,1,1,3,3,3,8.217027136283315,8.217027136283315,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
madhuca longifolia,Madhuca longifolia,2883346,3,1,1,1,3,3,3,8.054939918956917,8.054939918956917,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
moringa oleifera,Moringa oleifera,3054181,3,1,1,1,3,3,3,6.379560783166317,6.379560783166317,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
mussaenda erythrophylla,Mussaenda erythrophylla,2892634,3,1,1,1,3,3,3,7.921848304541266,7.921848304541266,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
mussaenda philippica,Mussaenda philippica,2892466,3,1,1,1,3,3,3,5.948933140910624,5.948933140910624,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
passiflora foetida,Passiflora foetida,2874211,3,1,1,1,3,3,3,8.156212735105706,8.156212735105706,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
pergularia daemia,Pergularia daemia,3170445,3,1,1,1,3,3,3,8.23033767544766,8.23033767544766,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
phyllanthus lawii,Phyllanthus lawii,5382438,3,1,1,1,3,3,3,8.216517052192007,8.216517052192007,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
phyllanthus niruri,Phyllanthus niruri,5381945,3,1,1,1,3,3,3,8.156212735105706,8.156212735105706,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
pilea microphylla,Pilea microphylla,5361841,3,1,1,1,3,3,3,6.620155768929155,6.620155768929155,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
polyscias paniculata,Polyscias paniculata,8364104,3,1,1,1,3,3,3,4.173631821556166,4.173631821556166,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
putranjiva formosana,Putranjiva formosana,3076076,3,1,1,1,3,3,3,3.55593394706019,3.55593394706019,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
pyrostegia venusta,Pyrostegia venusta,3172569,3,1,1,1,3,3,3,7.0924181469686935,7.0924181469686935,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
rumex dentatus,Rumex dentatus,2889038,3,1,1,1,3,3,3,8.200829751773203,8.200829751773203,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
rungia elegans,Rungia elegans,3780489,3,1,1,1,3,3,3,4.371655801213105,4.371655801213105,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
saraca indica,Saraca indica,5359538,3,1,1,1,3,3,3,9.672478163536493,9.672478163536493,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
sauromatum venosum,Sauromatum venosum,2869597,3,1,1,1,3,3,3,4.910641013836703,4.910641013836703,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
sida cordata,Sida cordata,5406739,3,1,1,1,3,3,3,8.151347011163532,8.151347011163532,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
tabebuia heterophylla,Tabebuia heterophylla,3172526,3,1,1,1,3,3,3,1.305279019215801,1.305279019215801,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
thunbergia alata,Thunbergia alata,5415463,3,1,1,1,3,3,3,8.10866317111353,8.10866317111353,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
thunbergia fragrans,Thunbergia fragrans,5415458,3,1,1,1,3,3,3,7.949447532515832,7.949447532515832,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
thunbergia laurifolia,Thunbergia laurifolia,5415460,3,1,1,1,3,3,3,2.8981152330717577,2.8981152330717577,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
tradescantia zebrina,Tradescantia zebrina,2765359,3,1,1,1,3,3,3,7.433687389782705,7.433687389782705,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
veronica peregrina,Veronica peregrina,3172104,3,1,1,1,3,3,3,5.275611544643923,5.275611544643923,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
duranta erecta,Duranta erecta,2925655,4,3,1,1,2,4,4,6.407380806117952,11.653260391176921,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
punica granatum,Punica granatum,5420901,4,2,1,1,2,4,4,8.879690089285612,12.947830968427073,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ledebouria revoluta,Ledebouria revoluta,2773721,2,2,1,1,2,2,2,4.2283897296261905,4.305941183946244,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
neolamarckia cadamba,Neolamarckia cadamba,2896888,2,2,1,1,2,2,2,5.33784704366127,6.706084926487953,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
plumeria pudica,Plumeria pudica,3614691,2,2,1,1,2,2,2,3.3895473107758574,4.853868645400825,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
rivina humilis,Rivina humilis,3084027,2,2,1,1,2,2,2,2.8106344001414696,5.158781953265851,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
sieruela rutidosperma,Sieruela rutidosperma,9778787,2,2,1,1,2,2,2,7.972593059365311,7.998494016122726,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cordia sinensis,Cordia sinensis,5660676,2,1,1,1,2,2,2,2.3575839173216773,2.3575839173216773,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
momordica charantia,Momordica charantia,2874581,2,1,1,1,2,2,2,6.29860424514415,6.29860424514415,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
phyllanthus acidus,Phyllanthus acidus,5381567,2,1,1,1,2,2,2,4.805693736415733,4.805693736415733,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
tinospora cordifolia,Tinospora cordifolia,7520328,2,1,1,1,2,2,2,8.497707080536827,8.497707080536827,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
vachellia nilotica,Vachellia nilotica,3974744,11,8,1,1,1,8,11,2.281606919617181,11.638603305030603,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
phyla nodiflora,Phyla nodiflora,5341112,6,4,1,1,1,5,6,4.255202854377545,24.035424776682248,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
asparagus racemosus,Asparagus racemosus,2768632,5,3,1,1,1,5,5,4.348720293407868,16.91132719168579,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
phyllanthus emblica,Phyllanthus emblica,5381660,3,2,1,1,1,3,3,5.228835458784525,13.167769599785865,weak,4.0,72.025,74.8,False,B_REGIONAL_ONLY,18.5204,73.8567
ehretia laevis,Ehretia laevis,4066496,3,2,1,1,1,3,3,4.154486957395854,20.808449800893392,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
arivela viscosa,Arivela viscosa,6370562,2,2,1,1,1,2,2,8.471860572985605,11.365377088515682,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
terminalia bellirica,Terminalia bellirica,3189390,2,2,1,1,1,1,2,7.921848304541266,19.234177328907617,weak,4.0,66.525,72.4,False,B_REGIONAL_ONLY,18.5204,73.8567
chloris virgata,Chloris virgata,5289624,2,2,1,1,1,1,2,4.5770223101530085,17.494110807089818,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
acalypha hispida,Acalypha hispida,3056375,1,1,1,1,1,1,1,5.594094807053978,5.594094807053978,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ailanthus excelsa,Ailanthus excelsa,3709036,1,1,1,1,1,1,1,4.543991299935321,4.543991299935321,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
allamanda cathartica,Allamanda cathartica,3169836,1,1,1,1,1,1,1,6.318189980025792,6.318189980025792,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cryptostegia grandiflora,Cryptostegia grandiflora,3170473,1,1,1,1,1,1,1,4.832730837126266,4.832730837126266,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
eucalyptus globulus,Eucalyptus globulus,3176787,1,1,1,1,1,1,1,4.534426885300796,4.534426885300796,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
euphorbia tithymaloides,Euphorbia tithymaloides,3069168,1,1,1,1,1,1,1,4.962037250881672,4.962037250881672,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
hibiscus archeri,Hibiscus archeri,3939736,1,1,1,1,1,1,1,8.158474683967702,8.158474683967702,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
jasminum sambac,Jasminum sambac,7587215,1,1,1,1,1,1,1,5.669153132984036,5.669153132984036,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ochna obtusata,Ochna obtusata,7326708,1,1,1,1,1,1,1,3.2881791559571045,3.2881791559571045,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
oroxylum indicum,Oroxylum indicum,7414934,1,1,1,1,1,1,1,5.864207752402276,5.864207752402276,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
oxalis latifolia,Oxalis latifolia,2891755,1,1,1,1,1,1,1,4.997489288515595,4.997489288515595,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
pentas lanceolata,Pentas lanceolata,2908986,1,1,1,1,1,1,1,8.521817786553633,8.521817786553633,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
tabebuia aurea,Tabebuia aurea,4091191,1,1,1,1,1,1,1,4.5049918383409,4.5049918383409,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
terminalia anogeissiana,Terminalia anogeissiana,9256805,1,1,1,1,1,1,1,6.988936137122464,6.988936137122464,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
tradescantia spathacea,Tradescantia spathacea,2765230,1,1,1,1,1,1,1,5.585308213731955,5.585308213731955,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ulmus parvifolia,Ulmus parvifolia,5361869,1,1,1,1,1,1,1,2.168387423428705,2.168387423428705,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
zephyranthes candida,Zephyranthes candida,2859976,1,1,1,1,1,1,1,8.28031756206984,8.28031756206984,very_weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
melinis repens,Melinis repens,2702504,12,6,1,1,0,12,12,12.817526188531966,13.707777967020673,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
blumea axillaris,Blumea axillaris,5395843,11,6,1,1,0,10,11,11.268999526059085,13.653147033989697,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
erythrina stricta,Erythrina stricta,5349642,6,2,1,1,0,6,6,10.616385700528848,17.33642910431877,moderate,4.0,84.06905918,85.48969650999999,False,B_REGIONAL_ONLY,18.5204,73.8567
ficus auriculata,Ficus auriculata,5571773,6,3,1,1,0,6,6,16.809079326813105,17.102743528495747,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
helicteres isora,Helicteres isora,5546922,6,3,1,1,0,6,6,18.53526260352141,18.60382995636404,moderate,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
canna indica,Canna indica,8034409,4,2,1,1,0,4,4,16.78132226909695,16.91091497545922,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
crossandra infundibuliformis,Crossandra infundibuliformis,6359825,4,2,1,1,0,4,4,10.31852884373792,13.592151191448972,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
dalbergia melanoxylon,Dalbergia melanoxylon,2968897,4,2,1,1,0,4,4,14.73398732459206,16.73707518829675,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
lantana montevidensis,Lantana montevidensis,2925314,4,2,1,1,0,4,4,20.581163439729696,20.695126298436776,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ocimum tenuiflorum,Ocimum tenuiflorum,2927100,4,2,1,1,0,4,4,10.884614992280511,10.888048552817471,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
physalis angulata,Physalis angulata,5341792,4,2,1,1,0,4,4,24.102968152983465,24.385919954213534,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
trema orientale,Trema orientale,2984508,4,2,1,1,0,4,4,18.56483114119557,18.57612103122696,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
diospyros melanoxylon,Diospyros melanoxylon,7715874,4,1,1,1,0,4,4,20.614886045221542,20.614886045221542,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ixora coccinea,Ixora coccinea,8793122,3,2,1,1,0,3,3,16.964006120884854,16.964006120884854,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
passiflora l.,Passiflora L.,2874172,3,2,1,1,0,3,3,16.798342545115744,16.798342545115744,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
alternanthera sessilis,Alternanthera sessilis,3084939,3,2,1,1,0,2,3,18.193447122768358,18.193447122768358,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
anacardium occidentale,Anacardium occidentale,5421368,3,2,1,1,0,2,3,14.821965364897729,14.821965364897729,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
abutilon theophrasti,Abutilon theophrasti,3152614,2,1,1,1,0,2,2,24.102968152983465,24.102968152983465,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
acalypha wilkesiana,Acalypha wilkesiana,3057221,2,1,1,1,0,2,2,16.927897616019543,16.927897616019543,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
acmella uliginosa,Acmella uliginosa,5386720,2,1,1,1,0,2,2,18.193447122768358,18.193447122768358,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
barleria cristata,Barleria cristata,3173128,2,1,1,1,0,2,2,16.871569629685492,16.871569629685492,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
borassus flabellifer,Borassus flabellifer,2733934,2,1,1,1,0,2,2,24.24715154478919,24.24715154478919,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
bridelia retusa,Bridelia retusa,3076196,2,1,1,1,0,2,2,23.999157906621903,23.999157906621903,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
campanula dimorphantha,Campanula dimorphantha,5410893,2,1,1,1,0,2,2,20.085529879526533,20.085529879526533,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
canna hybrida,Canna hybrida,7529533,2,1,1,1,0,2,2,23.84119607649233,23.84119607649233,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
capparis divaricata,Capparis divaricata,5602501,2,1,1,1,0,2,2,14.69498350631761,14.69498350631761,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
clerodendrum thomsoniae,Clerodendrum thomsoniae,3889087,2,1,1,1,0,2,2,13.564541273522316,13.564541273522316,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
crassocephalum crepidioides,Crassocephalum crepidioides,3115443,2,1,1,1,0,2,2,12.820573333334616,12.820573333334616,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
cyathocline purpurea,Cyathocline purpurea,3142265,2,1,1,1,0,2,2,23.03382906772501,23.03382906772501,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
datura innoxia,Datura innoxia,2928755,2,1,1,1,0,2,2,16.892977461747495,16.892977461747495,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
evolvulus alsinoides,Evolvulus alsinoides,2928673,2,1,1,1,0,2,2,12.154608632405086,12.154608632405086,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
flueggea leucopyrus,Flueggea leucopyrus,5382877,2,1,1,1,0,2,2,14.86190494718139,14.86190494718139,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
hamelia patens,Hamelia patens,2902066,2,1,1,1,0,2,2,17.124725740699052,17.124725740699052,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
heptapleurum arboricola,Heptapleurum arboricola,3038724,2,1,1,1,0,2,2,10.324760310775213,10.324760310775213,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
indigofera linifolia,Indigofera linifolia,2971525,2,1,1,1,0,2,2,12.185663635465556,12.185663635465556,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ipomoea hederifolia,Ipomoea hederifolia,2928624,2,1,1,1,0,2,2,17.01728096266035,17.01728096266035,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
jatropha integerrima,Jatropha integerrima,3073017,2,1,1,1,0,2,2,16.791343249378436,16.791343249378436,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
lantana strigocamara,Lantana strigocamara,4084229,2,1,1,1,0,2,2,13.288539757033767,13.288539757033767,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
manilkara hexandra,Manilkara hexandra,2885079,2,1,1,1,0,2,2,16.815852036638297,16.815852036638297,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
manilkara zapota,Manilkara zapota,2885158,2,1,1,1,0,2,2,16.991969631060503,16.991969631060503,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
mikania micrantha,Mikania micrantha,5398421,2,1,1,1,0,2,2,14.441801831608322,14.441801831608322,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
nymphaea pubescens,Nymphaea pubescens,3697240,2,1,1,1,0,2,2,14.743794647865073,14.743794647865073,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ocimum kilimandscharicum,Ocimum kilimandscharicum,8344835,2,1,1,1,0,2,2,17.07865801491829,17.07865801491829,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
operculina turpethum,Operculina turpethum,5341747,2,1,1,1,0,2,2,14.344473388070675,14.344473388070675,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
ottelia alismoides,Ottelia alismoides,5329515,2,1,1,1,0,2,2,24.102968152983465,24.102968152983465,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
oxalis debilis,Oxalis debilis,2891707,2,1,1,1,0,2,2,14.69544706390855,14.69544706390855,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
salvia coccinea,Salvia coccinea,9278365,2,1,1,1,0,2,2,10.509365183532392,10.509365183532392,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
senna uniflora,Senna uniflora,2957498,2,1,1,1,0,2,2,12.014462934863998,12.014462934863998,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
solanum hovei,Solanum hovei,2931972,2,1,1,1,0,2,2,18.193447122768358,18.193447122768358,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
soymida febrifuga,Soymida febrifuga,3850622,2,1,1,1,0,2,2,16.83256175500066,16.83256175500066,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
spermacoce remota,Spermacoce remota,2918667,2,1,1,1,0,2,2,11.318606135010462,11.318606135010462,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
striga gesnerioides,Striga gesnerioides,3171158,2,1,1,1,0,2,2,20.053993267255855,20.053993267255855,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
tradescantia pallida,Tradescantia pallida,2765221,2,1,1,1,0,2,2,13.078356035298524,13.078356035298524,weak,,,,False,B_REGIONAL_ONLY,18.5204,73.8567
