lat_dec,lon_dec,T2M_annual,T2M_MAX_annual,T2M_MIN_annual,PRECTOTCORR_annual,RH2M_annual,ALLSKY_SFC_SW_DWN_annual,WS10M_annual,EVPTRNS_annual,lat_key,lon_key
-1.012222222,116.9075,26.09,31.477692307692312,22.111538461538466,6.654615384615386,88.61615384615382,17.03153846153846,1.1484615384615382,6.907692307692307,-1.01222,116.9075
-3.7,115.15,26.51615384615385,36.058461538461536,20.98153846153846,7.226923076923077,83.98692307692308,17.27846153846154,1.734615384615385,3.289230769230769,-3.7,115.15
1.078333333,110.9308333,25.81923076923077,31.928461538461534,20.774615384615384,10.194615384615386,90.46,16.992307692307694,0.7084615384615385,6.416153846153847,1.07833,110.93083
4.1,101.2,25.36692307692308,31.31,19.87307692307692,7.010769230769231,85.73461538461538,17.606923076923074,1.655384615384615,4.409230769230769,4.1,101.2
4.6,101.7333333,25.07538461538461,32.230000000000004,18.62923076923077,6.667692307692308,88.80384615384615,17.606923076923074,0.7715384615384615,7.483076923076923,4.6,101.73333
2.979444444,102.3316667,26.192307692307693,36.85307692307692,19.88615384615385,6.897692307692308,86.64384615384617,17.207692307692305,1.07,5.169230769230769,2.97944,102.33167
1.076388889,110.9263889,25.81923076923077,31.928461538461534,20.774615384615384,10.194615384615386,90.46,16.992307692307694,0.7084615384615385,6.416153846153847,1.07639,110.92639
3.23,101.63,25.459230769230768,33.145384615384614,19.571538461538463,6.900769230769232,86.96307692307693,17.28230769230769,1.5492307692307692,4.326153846153845,3.23,101.63
4.1,101.2666667,25.36692307692308,31.31,19.87307692307692,7.010769230769231,85.73461538461538,17.606923076923074,1.655384615384615,4.409230769230769,4.1,101.26667
3.270555556,101.6308333,24.58384615384616,31.116153846153846,18.696153846153845,6.993846153846154,87.73846153846155,17.28230769230769,1.7730769230769232,3.809230769230768,3.27056,101.63083
6.35,80.35,24.93692307692308,34.135384615384616,17.92615384615385,4.8769230769230765,84.94,18.16538461538461,3.533846153846154,4.05076923076923,6.35,80.35
3.2,113.0833333,26.040000000000006,31.093076923076925,21.614615384615384,10.452307692307691,90.87076923076924,18.310769230769232,0.833076923076923,7.312307692307693,3.2,113.08333
-1.133333333,103.5666667,26.986153846153847,30.904615384615383,23.504615384615384,6.263076923076923,84.94692307692307,16.398461538461536,2.235384615384615,2.373846153846154,-1.13333,103.56667
9.466666667,125.5833333,25.666153846153847,33.91461538461538,21.18076923076923,9.593846153846156,86.55769230769229,17.38230769230769,2.5230769230769234,4.5746153846153845,9.46667,125.58333
-1.66,102.84,25.931538461538462,31.734615384615385,20.52076923076923,6.086153846153845,88.67307692307692,16.923846153846156,1.5561538461538462,4.695384615384615,-1.66,102.84
-1.515,113.4488889,25.924615384615382,31.49692307692308,20.516153846153845,8.146153846153847,89.41692307692308,17.598461538461535,0.6269230769230769,8.230769230769232,-1.515,113.44889
-1.36,103.89,26.03384615384616,31.706923076923072,20.91,6.248461538461539,89.99153846153847,16.398461538461536,1.0761538461538462,5.129230769230769,-1.36,103.89
18.86666667,94.85,27.71153846153846,40.29923076923077,16.973076923076924,1.5338461538461536,61.78076923076923,17.865384615384617,2.886923076923077,0.8776923076923077,18.86667,94.85
16.05,107.1166667,21.74153846153846,33.519230769230774,12.33,4.665384615384616,83.34384615384614,15.200769230769229,1.53,4.246153846153846,16.05,107.11667
6.033333333,116.1166667,24.63615384615385,30.13230769230769,19.950769230769232,7.415384615384616,85.63923076923076,18.134615384615387,2.1023076923076927,6.150769230769232,6.03333,116.11667
18.86666667,98.85,23.136923076923075,35.058461538461536,12.107692307692307,3.393076923076923,74.19538461538461,17.30923076923077,0.9423076923076924,4.453076923076923,18.86667,98.85
7.375,80.84027778,25.106153846153845,35.34538461538462,17.573846153846155,4.500769230769231,83.08538461538461,18.69923076923077,4.191538461538462,3.126153846153846,7.375,80.84028
5.0,117.5,24.49307692307692,30.257692307692302,19.32692307692308,7.266153846153847,92.13,18.16846153846154,0.6992307692307692,7.324615384615384,5.0,117.5
1.389722222,101.8663889,26.67076923076923,31.201538461538465,22.40461538461539,6.794615384615385,87.28846153846153,16.533076923076923,1.2253846153846155,6.482307692307692,1.38972,101.86639
22.43333333,114.1166667,23.33692307692308,31.86076923076923,12.592307692307688,3.823846153846154,79.34846153846154,14.886923076923075,4.493846153846154,0.8499999999999999,22.43333,114.11667
-3.17,104.1669444,26.25846153846154,33.03692307692308,20.210769230769227,6.838461538461539,87.74692307692308,17.586923076923078,1.879230769230769,4.317692307692308,-3.17,104.16694
4.6,117.2,24.99230769230769,30.32692307692308,20.114615384615384,6.890769230769231,91.4092307692308,17.783076923076923,0.7915384615384615,7.434615384615385,4.6,117.2
-2.184444444,113.5408333,26.14461538461538,32.13076923076923,20.621538461538464,7.819230769230769,88.71153846153847,17.736923076923077,0.6576923076923076,8.112307692307693,-2.18444,113.54083
3.65,113.7,25.80923076923077,31.4,20.947692307692307,8.905384615384616,91.29076923076924,18.310769230769232,0.7461538461538461,7.55923076923077,3.65,113.7
4.966666667,117.8,24.49307692307692,30.257692307692302,19.32692307692308,7.266153846153847,92.13,17.783076923076923,0.6992307692307692,7.324615384615384,4.96667,117.8
4.533333333,101.2166667,23.556153846153844,29.743076923076924,17.71153846153846,6.750000000000001,87.85307692307694,17.606923076923074,1.3053846153846154,4.950769230769231,4.53333,101.21667
18.83333333,98.83333333,23.136923076923075,35.058461538461536,12.107692307692307,3.393076923076923,74.19538461538461,17.30923076923077,0.9423076923076924,4.453076923076923,18.83333,98.83333
3.435555556,101.4191667,27.00692307692308,31.99,22.479230769230767,7.27153846153846,83.04615384615386,17.28230769230769,2.0807692307692305,3.969230769230769,3.43556,101.41917
3.25,102.35,26.33615384615384,38.12615384615385,19.84230769230769,7.3707692307692305,85.68076923076924,17.394615384615385,1.103076923076923,5.492307692307692,3.25,102.35
3.92,102.58,25.709230769230768,35.99153846153847,19.28692307692308,7.563076923076922,86.70076923076924,17.394615384615385,0.9146153846153846,6.247692307692309,3.92,102.58
3.683333333,113.65,25.80923076923077,31.4,20.947692307692307,8.905384615384616,91.29076923076924,18.310769230769232,0.7461538461538461,7.55923076923077,3.68333,113.65
3.016666667,101.6166667,25.459230769230768,33.145384615384614,19.571538461538463,6.900769230769232,86.96307692307693,17.28230769230769,1.5492307692307692,4.326153846153845,3.01667,101.61667
-0.883333333,112.0333333,25.00230769230769,30.306153846153844,19.41692307692308,8.763846153846156,90.8823076923077,17.12769230769231,0.6715384615384615,7.535384615384615,-0.88333,112.03333
3.166666667,101.5833333,25.459230769230768,33.145384615384614,19.571538461538463,6.900769230769232,86.96307692307693,17.28230769230769,1.5492307692307692,4.326153846153845,3.16667,101.58333
0.329166667,101.6855556,26.08,31.68230769230769,20.95692307692308,7.396923076923078,90.56461538461538,16.909230769230767,0.6784615384615384,6.534615384615384,0.32917,101.68556
-2.095833333,103.3463889,26.07692307692308,32.05538461538462,20.212307692307693,6.126153846153847,87.7953846153846,17.401538461538465,1.845384615384616,4.586153846153847,-2.09583,103.34639
-2.237222222,114.4852778,26.140000000000004,32.97153846153846,20.54153846153846,7.9023076923076925,88.97000000000001,17.704615384615387,0.6384615384615385,7.536923076923077,-2.23722,114.48528
-0.983333333,116.95,26.09,31.477692307692312,22.111538461538466,6.654615384615386,88.61615384615382,16.874615384615385,1.1484615384615382,6.907692307692307,-0.98333,116.95
-2.285277778,114.4677778,26.39,33.68076923076923,20.475384615384616,7.579999999999999,87.92461538461538,17.704615384615387,0.706923076923077,7.265384615384615,-2.28528,114.46778
-2.239722222,114.4852778,26.140000000000004,32.97153846153846,20.54153846153846,7.9023076923076925,88.97000000000001,17.704615384615387,0.6384615384615385,7.536923076923077,-2.23972,114.48528
29.10916667,117.9233333,16.571538461538463,30.84384615384615,-0.1815384615384614,5.076153846153845,81.11538461538461,12.907692307692308,3.0146153846153845,3.1,29.10917,117.92333
-2.287777778,114.5319444,26.39,33.68076923076923,20.475384615384616,7.579999999999999,87.92461538461538,17.704615384615387,0.706923076923077,7.265384615384615,-2.28778,114.53194
-2.351666667,114.0922222,26.39,33.68076923076923,20.475384615384616,7.579999999999999,87.92461538461538,17.704615384615387,0.706923076923077,7.265384615384615,-2.35167,114.09222
-2.330555556,114.025,26.746923076923075,35.80692307692307,20.650769230769228,7.4592307692307696,85.02076923076923,17.704615384615387,0.7953846153846154,6.628461538461537,-2.33056,114.025
21.45,110.9,23.58153846153846,33.37384615384615,11.487692307692306,4.951538461538462,81.65692307692308,14.632307692307691,4.015384615384615,2.515384615384616,21.45,110.9
1.400277778,110.31,25.88,30.70230769230769,21.763076923076923,9.26769230769231,89.39615384615385,16.992307692307694,1.0784615384615386,6.129230769230769,1.40028,110.31
-2.315555556,114.0586111,26.746923076923075,35.80692307692307,20.650769230769228,7.4592307692307696,85.02076923076923,17.704615384615387,0.7953846153846154,6.628461538461537,-2.31556,114.05861
-0.95,103.3388889,26.34230769230769,31.744615384615383,21.42615384615385,6.2192307692307685,86.9423076923077,15.985384615384614,1.8061538461538464,3.413076923076924,-0.95,103.33889
21.46361111,110.905,23.58153846153846,33.37384615384615,11.487692307692306,4.951538461538462,81.65692307692308,14.632307692307691,4.015384615384615,2.515384615384616,21.46361,110.905
23.43333333,117.0333333,22.205384615384617,31.84615384615385,12.432307692307695,4.037692307692307,81.70076923076923,15.413076923076924,4.348461538461538,3.2107692307692304,23.43333,117.03333
18.89,98.82,23.136923076923075,35.058461538461536,12.107692307692307,3.393076923076923,74.19538461538461,17.30923076923077,0.9423076923076924,4.453076923076923,18.89,98.82
11.11416667,107.4013889,26.891538461538463,37.12538461538462,18.71384615384616,3.536153846153846,77.21230769230769,18.209230769230768,3.39,2.773846153846154,11.11417,107.40139
27.15,98.48333333,10.210769230769232,23.150769230769228,-0.4484615384615385,2.579230769230769,76.59307692307694,13.166923076923077,1.9830769230769232,1.947692307692308,27.15,98.48333
22.28333333,113.95,23.46923076923077,31.035384615384608,13.316153846153846,4.019230769230768,80.24076923076925,14.656153846153844,4.472307692307693,1.726153846153846,22.28333,113.95
-2.308055556,113.9044444,26.746923076923075,35.80692307692307,20.650769230769228,7.4592307692307696,85.02076923076923,17.736923076923077,0.7953846153846154,6.628461538461537,-2.30806,113.90444
3.05,102.35,26.192307692307693,36.85307692307692,19.88615384615385,6.897692307692308,86.64384615384617,17.394615384615385,1.07,5.169230769230769,3.05,102.35
4.616666667,117.2,24.99230769230769,30.32692307692308,20.114615384615384,6.890769230769231,91.4092307692308,17.783076923076923,0.7915384615384615,7.434615384615385,4.61667,117.2
2.983333333,101.8666667,25.459230769230768,33.145384615384614,19.571538461538463,6.900769230769232,86.96307692307693,17.69769230769231,1.5492307692307692,4.326153846153845,2.98333,101.86667
-1.6,103.79,26.03384615384616,31.706923076923072,20.91,6.248461538461539,89.99153846153847,16.398461538461536,1.0761538461538462,5.129230769230769,-1.6,103.79
-2.36,114.1561111,26.39,33.68076923076923,20.475384615384616,7.579999999999999,87.92461538461538,17.704615384615387,0.706923076923077,7.265384615384615,-2.36,114.15611
0.235,111.06,25.77615384615385,31.080769230769235,20.63461538461538,8.972307692307693,91.22769230769232,17.506153846153843,0.6230769230769231,7.128461538461538,0.235,111.06
1.817222222,100.77,26.641538461538463,31.08692307692307,22.49230769230769,8.500000000000002,87.06923076923076,17.14923076923077,1.2999999999999998,4.090769230769231,1.81722,100.77
-1.283333333,104.0166667,26.03384615384616,31.706923076923072,20.91,6.248461538461539,89.99153846153847,16.61846153846154,1.0761538461538462,5.129230769230769,-1.28333,104.01667
13.41805556,75.21666667,25.381538461538465,33.87615384615385,18.347692307692306,9.137692307692308,77.24307692307693,18.73846153846154,2.573846153846154,2.535384615384616,13.41806,75.21667
-1.983333333,106.1,27.61,30.92,25.004615384615384,5.972307692307693,81.85076923076923,17.674615384615382,3.7515384615384617,1.3184615384615386,-1.98333,106.1
6.666666667,100.25,27.51076923076923,33.84307692307692,23.16769230769231,5.997692307692309,81.31153846153846,18.09538461538461,3.217692307692308,4.331538461538461,6.66667,100.25
6.5,101.7333333,27.441538461538464,35.58230769230769,23.52153846153846,5.964615384615384,81.73153846153846,17.87076923076923,2.503076923076923,6.163846153846155,6.5,101.73333
25.35,91.73333333,17.93769230769231,27.53076923076924,8.111538461538464,8.304615384615385,81.85384615384616,15.439230769230768,2.4215384615384616,3.1715384615384616,25.35,91.73333
6.0725,101.9647222,26.093846153846155,37.556153846153855,19.79384615384616,6.608461538461539,85.36923076923078,17.87076923076923,1.421538461538462,6.326923076923078,6.0725,101.96472
25.35,91.78333333,17.93769230769231,27.53076923076924,8.111538461538464,8.304615384615385,81.85384615384616,15.439230769230768,2.4215384615384616,3.1715384615384616,25.35,91.78333
18.57638889,103.6858333,24.07307692307692,37.42846153846154,11.986923076923077,3.7923076923076926,75.6923076923077,16.91769230769231,1.5869230769230769,3.981538461538461,18.57639,103.68583
-3.5,115.0,26.51615384615385,36.058461538461536,20.98153846153846,7.226923076923077,83.98692307692308,17.27846153846154,1.734615384615385,3.289230769230769,-3.5,115.0
