species_normalized,scientific_name_gbif,species_key,accepted_taxon_key,latitude,longitude,distance_km,dataset_key,dataset_name,publisher,gbif_id
mangifera indica,Mangifera indica,3190638.0,3190638,18.598251,73.719185,16.8838699825976,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235440550
calotropis gigantea,Calotropis gigantea,3579089.0,3579089,18.562725,73.794425,8.07786370197145,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235441668
withania somnifera,Withania somnifera,2928840.0,2928840,18.483099,73.81752,5.854243233876021,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235444000
cascabela thevetia,Cascabela thevetia,3169652.0,3169652,18.552034,73.787303,8.117956569073582,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235453918
ficus religiosa,Ficus religiosa,5361935.0,5361935,18.52549,73.815385,4.392653595370013,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235454796
terminalia arjuna,Terminalia arjuna,3699548.0,3699548,18.548908,73.83003,4.237279146459922,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235461359
grewia tiliifolia,Grewia tiliifolia,4259991.0,4259991,18.635247,73.665924,23.820445281690112,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235461830
butea monosperma,Butea monosperma,8234570.0,8234570,18.528914,73.815792,4.415762073466564,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235467384
holoptelea integrifolia,Holoptelea integrifolia,4160169.0,4160169,18.535446,73.837757,2.605349634665108,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235474501
tridax procumbens,Tridax procumbens,3149462.0,3149462,18.650791,73.750469,18.31868139114172,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235489657
lannea coromandelica,Lannea coromandelica,3661151.0,3661151,18.529212,73.816483,4.3519666008241895,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235494332
jacaranda mimosifolia,Jacaranda mimosifolia,3172499.0,3172499,18.599298,73.720227,16.84994443775915,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235501413
pterospermum acerifolium,Pterospermum acerifolium,3669210.0,3669210,18.528908,73.813358,4.666609615318683,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235512367
annona squamosa,Annona squamosa,5407099.0,5407099,18.535754,73.837784,2.625308906447713,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235515553
broussonetia papyrifera,Broussonetia papyrifera,5361944.0,5361944,18.529725,73.849154,1.3069546480532497,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235517447
ficus racemosa,Ficus racemosa,5361904.0,5361904,18.533952,73.839775,2.3355983653409136,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235523675
broussonetia papyrifera,Broussonetia papyrifera,5361944.0,5361944,18.529753,73.849002,1.3192247559817996,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235530815
combretum albidum,Combretum albidum,7327060.0,7327060,18.564647,73.794969,8.158368631787363,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235530846
ricinus communis,Ricinus communis,5380041.0,5380041,18.562473,73.794166,8.08382618819571,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235541650
tectona grandis,Tectona grandis,2925649.0,2925649,18.506069,73.817383,4.441337800053019,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235581571
ficus benghalensis,Ficus benghalensis,5361919.0,5361919,18.533984,73.839768,2.3384589369299724,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235583567
nerium oleander,Nerium oleander,3169756.0,3169756,18.553268,73.787897,8.122349689399082,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235586306
tridax procumbens,Tridax procumbens,3149462.0,3149462,18.53299,73.827228,3.408107806610718,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235595723
ficus benghalensis,Ficus benghalensis,5361919.0,5361919,18.545012,73.885545,4.091204519350638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235599673
chromolaena odorata,Chromolaena odorata,3087725.0,3087725,18.593304,73.800728,10.026418114730944,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235608930
terminalia catappa,Terminalia catappa,3189394.0,3189394,18.533775,73.840134,2.294001623284539,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235609730
alternanthera ficoidea,Alternanthera ficoidea,8160803.0,8160803,18.563406,73.793925,8.164870597239744,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235612086
artocarpus heterophyllus,Artocarpus heterophyllus,2984565.0,2984565,18.567568,73.825003,6.218877400637711,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235624593
chromolaena odorata,Chromolaena odorata,3087725.0,3087725,18.562369,73.794617,8.0383808096097,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235625352
vachellia nilotica,Vachellia nilotica,3974744.0,3974744,18.595544,73.790302,10.899811712889615,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235630670
punica granatum,Punica granatum,5420901.0,5420901,18.598862,73.71811,17.015971847568537,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235631537
muntingia calabura,Muntingia calabura,3152036.0,3152036,18.601142,73.718473,17.11467136800819,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235633055
cassia fistula,Cassia fistula,5357108.0,5357108,18.600236,73.718577,17.052710672912387,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235637086
mangifera indica,Mangifera indica,3190638.0,3190638,18.597879,73.719283,16.853833082204407,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235640016
azadirachta indica,Azadirachta indica,3190474.0,3190474,18.600144,73.718818,17.025698677456955,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235644990
malvastrum coromandelianum,Malvastrum coromandelianum,3152268.0,3152268,18.562622,73.794414,8.072141180443051,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235647767
senegalia catechu,Senegalia catechu,3796190.0,3796190,18.52549,73.815385,4.392653595370013,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235651752
malvastrum coromandelianum,Malvastrum coromandelianum,3152268.0,3152268,18.562873,73.79368,8.151347011163532,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235666165
abutilon theophrasti,Abutilon theophrasti,3152614.0,3152614,18.622692,73.655093,24.102968152983465,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235682086
cassia fistula,Cassia fistula,5357108.0,5357108,18.495611,73.801224,6.466511491185,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235685579
mangifera indica,Mangifera indica,3190638.0,3190638,18.529704,73.849191,1.30272843012061,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235695863
azadirachta indica,Azadirachta indica,3190474.0,3190474,18.599462,73.717665,17.09046304251598,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235696590
aegle marmelos,Aegle marmelos,5421195.0,5421195,18.568771,73.758477,11.66840172304284,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235699657
ficus benghalensis,Ficus benghalensis,5361919.0,5361919,18.477499,73.847818,4.861455744777196,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235704320
mangifera indica,Mangifera indica,3190638.0,3190638,18.533114,73.841726,2.119217131217744,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235711385
ipomoea carnea,Ipomoea carnea,2928590.0,2928590,18.62616,73.649679,24.787974909499404,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235711817
parthenium hysterophorus,Parthenium hysterophorus,3086784.0,3086784,18.650773,73.750399,18.32160820761396,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235713027
heliotropium indicum,Heliotropium indicum,2925788.0,2925788,18.563993,73.796003,8.027572228551978,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235717444
euphorbia hypericifolia,Euphorbia hypericifolia,3066321.0,3066321,18.481843,73.810617,6.480342888957777,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235732304
plumeria obtusa,Plumeria obtusa,3169677.0,3169677,18.554435,73.788453,8.129614383964814,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235733457
caryota urens,Caryota urens,2738914.0,2738914,18.582892,73.780403,10.629008041997958,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235736628
alternanthera ficoidea,Alternanthera ficoidea,8160803.0,8160803,18.529717,73.814939,4.523249084068973,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235743337
putranjiva roxburghii,Putranjiva roxburghii,3076079.0,3076079,18.529939,73.851647,1.1869671188696649,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235748450
grevillea robusta,Grevillea robusta,2891791.0,2891791,18.531547,73.846676,1.628892723876628,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235752994
crotalaria pallida,Crotalaria pallida,8260433.0,8260433,18.623993,73.654277,24.24715154478919,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235756521
polyalthia longifolia,Polyalthia longifolia,3156422.0,3156422,18.535108,73.838036,2.558686496845746,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235774804
lantana camara,Lantana camara,2925303.0,2925303,18.527294,73.81625,4.333161313001549,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235775051
peltophorum pterocarpum,Peltophorum pterocarpum,2952775.0,2952775,18.534751,73.838731,2.4770155998724,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235779626
cyanthillium cinereum,Cyanthillium cinereum,6445734.0,6445734,18.523516,73.843658,1.4180688468223959,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235780329
tridax procumbens,Tridax procumbens,3149462.0,3149462,18.54888,73.829917,4.24286967244881,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235781069
catharanthus roseus,Catharanthus roseus,3169830.0,3169830,18.597518,73.719237,16.83753511219986,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235786349
peltophorum pterocarpum,Peltophorum pterocarpum,2952775.0,2952775,18.537845,73.88562,3.61380787453623,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235801780
calotropis procera,Calotropis procera,5414566.0,5414566,18.521059,73.821641,3.6972123156324552,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235804532
bambusa vulgaris,Bambusa vulgaris,7661971.0,7661971,18.597997,73.718392,16.941299814252364,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235806695
cassia fistula,Cassia fistula,5357108.0,5357108,18.600014,73.718778,17.02178062038164,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235813491
morinda coreia,Morinda coreia,5339862.0,5339862,18.529722,73.814758,4.541954141634957,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235813736
calotropis gigantea,Calotropis gigantea,3579089.0,3579089,18.568034,73.758631,11.616421887354361,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235817334
calotropis gigantea,Calotropis gigantea,3579089.0,3579089,18.562712,73.794525,8.06845501808861,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235820002
tridax procumbens,Tridax procumbens,3149462.0,3149462,18.593264,73.800705,10.024250177954908,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235837100
calotropis gigantea,Calotropis gigantea,3579089.0,3579089,18.562705,73.794638,8.058325909474451,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235848842
tridax procumbens,Tridax procumbens,3149462.0,3149462,18.600561,73.719071,17.027149835364614,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235875678
lantana camara,Lantana camara,2925303.0,2925303,18.532328,73.813049,4.789550529611061,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235877792
saraca asoca,Saraca asoca,7458904.0,7458904,18.466628,73.901147,7.597315299982245,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235885452
ficus religiosa,Ficus religiosa,5361935.0,5361935,18.595356,73.78907,10.96776525791571,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6235913494
