row_id,country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,species_full,genus,species,family,survival_per,lat_dec,lon_dec,w_meanWD,treatment,planting_density_missing,target_horizon_months,split_group_id,split_set
28,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Vitex pinnata,Vitex,pinnata,Lamiaceae,100.0,-1.012222222,116.9075,0.565170667,1,0,12.0,AB2020,train
29,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Vitex pinnata,Vitex,pinnata,Lamiaceae,100.0,-1.012222222,116.9075,0.565170667,1,0,48.0,AB2020,train
30,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Ficus variegata,Ficus,variegata,Moraceae,70.0,-1.012222222,116.9075,0.327,1,0,12.0,AB2020,train
31,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Ficus variegata,Ficus,variegata,Moraceae,32.5,-1.012222222,116.9075,0.327,1,0,48.0,AB2020,train
32,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,97.5,-1.012222222,116.9075,0.69,1,0,12.0,AB2020,train
33,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,84.17,-1.012222222,116.9075,0.69,1,0,48.0,AB2020,train
34,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Syzygium scortechinii,Syzygium,scortechinii,Myrtaceae,99.17,-1.012222222,116.9075,0.664366667,1,0,12.0,AB2020,train
35,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Syzygium scortechinii,Syzygium,scortechinii,Myrtaceae,96.67,-1.012222222,116.9075,0.664366667,1,0,48.0,AB2020,train
36,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Syzygium nervosum,Syzygium,nervosum,Myrtaceae,98.33,-1.012222222,116.9075,0.664366667,1,0,12.0,AB2020,train
37,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Syzygium nervosum,Syzygium,nervosum,Myrtaceae,91.67,-1.012222222,116.9075,0.664366667,1,0,48.0,AB2020,train
38,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Syzygium lineatum,Syzygium,lineatum,Myrtaceae,91.67,-1.012222222,116.9075,0.664366667,1,0,12.0,AB2020,train
39,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Syzygium lineatum,Syzygium,lineatum,Myrtaceae,90.0,-1.012222222,116.9075,0.664366667,1,0,48.0,AB2020,train
40,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Schima wallichii,Schima,wallichii,Theaceae,69.17,-1.012222222,116.9075,0.55775,1,0,12.0,AB2020,train
41,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Schima wallichii,Schima,wallichii,Theaceae,65.83,-1.012222222,116.9075,0.55775,1,0,48.0,AB2020,train
42,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Macaranga motleyana,Macaranga,motleyana,Euphorbiaceae,97.5,-1.012222222,116.9075,0.382929167,1,0,12.0,AB2020,train
43,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Macaranga motleyana,Macaranga,motleyana,Euphorbiaceae,82.5,-1.012222222,116.9075,0.382929167,1,0,48.0,AB2020,train
44,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Glochidion rubrum,Glochidion,rubrum,Phyllanthaceae,76.67,-1.012222222,116.9075,0.64,1,0,12.0,AB2020,train
45,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Glochidion rubrum,Glochidion,rubrum,Phyllanthaceae,60.0,-1.012222222,116.9075,0.64,1,0,48.0,AB2020,train
46,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Cleistanthus oblongifolius,Cleistanthus,oblongifolius,Phyllanthaceae,94.17,-1.012222222,116.9075,0.6518,1,0,12.0,AB2020,train
47,Indonesia,East Kalimantan,M,open_degraded,1,0,1,0,1,0,1111.111111,1.0,Cleistanthus oblongifolius,Cleistanthus,oblongifolius,Phyllanthaceae,90.0,-1.012222222,116.9075,0.6518,1,0,48.0,AB2020,train
48,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,50.0,-3.7,115.15,0.405,1,0,12.0,AG1998,train
49,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,28.0,-3.7,115.15,0.405,1,0,24.0,AG1998,train
50,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Shorea parvifolia,Shorea,parvifolia,Dipterocarpaceae,73.0,-3.7,115.15,0.405,1,0,12.0,AG1998,train
