country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,age_0,height_0,species_full,genus,species,family,lat_dec,lon_dec,duration_months,w_meanWD,w_sdWD,w_levelWD,w_nInd,sample_assumption,sample_weight,site_sp,treatment,yr_cat,survival_per
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,1,0,,1,,40.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,16.0,0.69,0.070823262,,1,,80.0,,1,1.0,91.25637739
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,1,0,,1,,40.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,25.0,0.69,0.070823262,,1,,80.0,,1,2.0,91.44738496
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,1,0,,1,,40.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,40.0,0.69,0.070823262,,1,,80.0,,1,3.0,89.73083013
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,1,0,,1,,40.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,49.0,0.69,0.070823262,,1,,80.0,,1,4.0,88.92910101
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,1,0,,1,,40.0,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,4.0,0.69,0.070823262,,1,,80.0,,1,9999.0,93.03827691
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Acacia mangium,Acacia,mangium,Fabaceae,13.565,102.1722222,20.0,0.507,0.070823262,,7,,60.0,,1,2.0,100.0
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Dalbergia cochinchinensis,Dalbergia,cochinchinensis,Fabaceae,13.565,102.1722222,20.0,0.88,0.070823262,,1,,60.0,,1,2.0,97.62711864
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Dalbergia cochinchinensis,Dalbergia,cochinchinensis,Fabaceae,13.565,102.1722222,20.0,0.88,0.070823262,,1,,60.0,,1,2.0,90.50847458
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Dalbergia cochinchinensis,Dalbergia,cochinchinensis,Fabaceae,13.565,102.1722222,20.0,0.88,0.070823262,,1,,60.0,,1,2.0,84.06779661
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Xylia xylocarpa,Xylia,xylocarpa,Fabaceae,13.565,102.1722222,20.0,0.68,0.070823262,,1,,60.0,,1,2.0,100.0
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Xylia xylocarpa,Xylia,xylocarpa,Fabaceae,13.565,102.1722222,20.0,0.68,0.070823262,,1,,60.0,,1,2.0,97.96610169
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Xylia xylocarpa,Xylia,xylocarpa,Fabaceae,13.565,102.1722222,20.0,0.68,0.070823262,,1,,60.0,,1,2.0,99.66101695
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Xylia xylocarpa,Xylia,xylocarpa,Fabaceae,13.565,102.1722222,20.0,0.68,0.070823262,,1,,60.0,,1,2.0,99.66101695
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Xylia xylocarpa,Xylia,xylocarpa,Fabaceae,13.565,102.1722222,20.0,0.68,0.070823262,,1,,60.0,,1,2.0,98.98305085
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Xylia xylocarpa,Xylia,xylocarpa,Fabaceae,13.565,102.1722222,20.0,0.68,0.070823262,,1,,60.0,,1,2.0,98.30508475
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Acacia mangium,Acacia,mangium,Fabaceae,13.565,102.1722222,20.0,0.507,0.070823262,,7,,60.0,,1,2.0,98.98305085
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Acacia mangium,Acacia,mangium,Fabaceae,13.565,102.1722222,20.0,0.507,0.070823262,,7,,60.0,,1,2.0,94.91525424
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Acacia mangium,Acacia,mangium,Fabaceae,13.565,102.1722222,20.0,0.507,0.070823262,,7,,60.0,,1,2.0,99.66101695
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Acacia mangium,Acacia,mangium,Fabaceae,13.565,102.1722222,20.0,0.507,0.070823262,,7,,60.0,,1,2.0,98.98305085
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Acacia mangium,Acacia,mangium,Fabaceae,13.565,102.1722222,20.0,0.507,0.070823262,,7,,60.0,,1,2.0,96.61016949
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Dalbergia cochinchinensis,Dalbergia,cochinchinensis,Fabaceae,13.565,102.1722222,20.0,0.88,0.070823262,,1,,60.0,,1,2.0,89.49152542
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Dalbergia cochinchinensis,Dalbergia,cochinchinensis,Fabaceae,13.565,102.1722222,20.0,0.88,0.070823262,,1,,60.0,,1,2.0,94.91525424
Thailand,Sakaew,AG,open_degraded,1,0,1,0,0,1,,1,,,Dalbergia cochinchinensis,Dalbergia,cochinchinensis,Fabaceae,13.565,102.1722222,20.0,0.88,0.070823262,,1,,60.0,,1,2.0,96.27118644
Indonesia,Jambi,PL,plantation_enrichment,1,0,0,0,1,0,156.25,1,12.0,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-0.988888889,103.3363889,12.0,0.33,0.070823262,,1,,36.0,,1,1.0,94.8
Indonesia,Jambi,PL,plantation_enrichment,1,0,0,0,1,0,156.25,1,12.0,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-0.988888889,103.3363889,18.0,0.33,0.070823262,,1,,36.0,,1,2.0,90.2
Indonesia,Jambi,PL,plantation_enrichment,1,0,0,0,1,0,156.25,1,12.0,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-0.988888889,103.3363889,12.0,0.33,0.070823262,,1,,36.0,,1,1.0,88.6
Indonesia,Jambi,PL,plantation_enrichment,1,0,0,0,1,0,156.25,1,12.0,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-0.988888889,103.3363889,18.0,0.33,0.070823262,,1,,36.0,,1,2.0,86.7
Indonesia,Jambi,PL,plantation_enrichment,0,0,0,0,1,0,156.25,1,6.5,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-1.052777778,103.3772222,12.0,0.33,0.070823262,,1,,36.0,,1,1.0,55.0
Indonesia,Jambi,PL,plantation_enrichment,0,0,0,0,1,0,156.25,1,6.5,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-1.052777778,103.3772222,18.0,0.33,0.070823262,,1,,36.0,,1,2.0,22.1
Indonesia,Jambi,PL,plantation_enrichment,1,0,0,0,1,0,1111.111111,1,12.0,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-1.052222222,103.4019444,12.0,0.33,0.070823262,,1,,36.0,,1,1.0,86.3
Indonesia,Jambi,PL,plantation_enrichment,1,0,0,0,1,0,1111.111111,1,12.0,,Dyera polyphylla,Dyera,polyphylla,Apocynaceae,-1.052222222,103.4019444,18.0,0.33,0.070823262,,1,,36.0,,1,2.0,74.7
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,8.0,0.363333333,0.070823262,,3,,50.0,,1,1.0,16.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,4.0,0.363333333,0.070823262,,3,,50.0,,1,9999.0,20.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,50.0,,1,1.0,22.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,50.0,,1,9999.0,44.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,8.0,0.72,0.070823262,,1,,20.0,,1,1.0,25.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea seminis,Shorea,seminis,Dipterocarpaceae,-2.209444444,113.89,4.0,0.72,0.070823262,,1,,20.0,,1,9999.0,55.0
